year,state,industry,count,last_update
2024,Assam,Textiles & Apparel,7,2025-07-31 19:30:10.702
2024,Assam,Indic Language Startups,1,2025-07-31 19:30:10.957
2024,Assam,Transportation & Storage,8,2025-07-31 19:30:11.211
2024,Assam,Logistics,2,2025-07-31 19:30:11.466
2024,Assam,Travel & Tourism,12,2025-07-31 19:30:11.721
2024,Assam,Security Solutions,4,2025-07-31 19:30:11.975
2024,Assam,Real Estate,1,2025-07-31 19:30:12.483
2024,Assam,Other Specialty Retailers,1,2025-07-31 19:30:12.736
2024,Assam,Waste Management,3,2025-07-31 19:30:14.003
2024,Assam,Toys and Games,2,2025-07-31 19:30:14.514
2024,Chandigarh,Analytics,1,2025-07-31 19:30:14.766
2024,Chandigarh,AR VR (Augmented + Virtual Reality),1,2025-07-31 19:30:15.523
2024,Chandigarh,Automotive,2,2025-07-31 19:30:15.775
2024,Chandigarh,Chemicals,2,2025-07-31 19:30:16.530
2024,Chandigarh,Construction,5,2025-07-31 19:30:17.285
2024,Chandigarh,Agriculture,4,2025-07-31 19:30:17.537
2024,Chandigarh,AI,1,2025-07-31 19:30:18.039
2024,Chandigarh,Green Technology,2,2025-07-31 19:30:18.290
2024,Chandigarh,Events,2,2025-07-31 19:30:18.541
2024,Chandigarh,Fashion,7,2025-07-31 19:30:18.794
2024,Chandigarh,Finance Technology,4,2025-07-31 19:30:19.046
2024,Chandigarh,Enterprise Software,1,2025-07-31 19:30:19.297
2024,Chandigarh,Food & Beverages,1,2025-07-31 19:30:19.548
2024,Chandigarh,Education,10,2025-07-31 19:30:20.305
2024,Chandigarh,Renewable Energy,1,2025-07-31 19:30:20.557
2024,Chandigarh,Technology Hardware,4,2025-07-31 19:30:20.808
2024,Chandigarh,Healthcare & Lifesciences,16,2025-07-31 19:30:21.061
2024,Chandigarh,IT Services,13,2025-07-31 19:30:21.564
2024,Chandigarh,Human Resources,2,2025-07-31 19:30:21.816
2024,Chandigarh,Media & Entertainment,4,2025-07-31 19:30:23.072
2024,Chandigarh,Retail,1,2025-07-31 19:30:23.323
2024,Chandigarh,Professional & Commercial Services,4,2025-07-31 19:30:23.827
2024,Chandigarh,Sports,1,2025-07-31 19:30:24.078
2024,Chandigarh,Social Network,1,2025-07-31 19:30:24.581
2024,Chandigarh,Textiles & Apparel,4,2025-07-31 19:30:24.833
2024,Chandigarh,Transportation & Storage,1,2025-07-31 19:30:25.335
2024,Chandigarh,Travel & Tourism,3,2025-07-31 19:30:25.838
2024,Chandigarh,Security Solutions,1,2025-07-31 19:30:26.089
2024,Chandigarh,Real Estate,2,2025-07-31 19:30:26.590
2024,Chandigarh,Biotechnology,1,2025-07-31 19:30:27.844
2024,Goa,Architecture Interior Design,1,2025-07-31 19:30:29.354
2024,Goa,Automotive,2,2025-07-31 19:30:29.858
2024,Goa,Chemicals,1,2025-07-31 19:30:30.613
2024,Goa,Telecommunication & Networking,1,2025-07-31 19:30:31.118
2024,Goa,Construction,8,2025-07-31 19:30:31.371
2024,Goa,Agriculture,2,2025-07-31 19:30:31.623
2024,Goa,Aeronautics Aerospace & Defence,1,2025-07-31 19:30:31.874
2024,Goa,AI,4,2025-07-31 19:30:32.126
2024,Goa,Green Technology,2,2025-07-31 19:30:32.378
2024,Goa,Events,5,2025-07-31 19:30:32.629
2024,Goa,Fashion,4,2025-07-31 19:30:32.880
2024,Goa,Finance Technology,2,2025-07-31 19:30:33.132
2024,Goa,Enterprise Software,3,2025-07-31 19:30:33.384
2024,Goa,Food & Beverages,12,2025-07-31 19:30:33.636
2024,Goa,Education,6,2025-07-31 19:30:34.392
2024,Goa,Renewable Energy,5,2025-07-31 19:30:34.642
2024,Goa,Technology Hardware,5,2025-07-31 19:30:34.892
2024,Goa,Healthcare & Lifesciences,9,2025-07-31 19:30:35.145
2024,Goa,Internet of Things,2,2025-07-31 19:30:35.397
2024,Goa,IT Services,8,2025-07-31 19:30:35.649
2024,Goa,Human Resources,1,2025-07-31 19:30:35.902
2024,Goa,Marketing,2,2025-07-31 19:30:36.152
2024,Goa,Pets & Animals,1,2025-07-31 19:30:36.907
2024,Goa,Media & Entertainment,5,2025-07-31 19:30:37.159
2024,Goa,Retail,1,2025-07-31 19:30:37.410
2024,Goa,Professional & Commercial Services,6,2025-07-31 19:30:37.910
2024,Goa,Sports,1,2025-07-31 19:30:38.160
2024,Goa,Textiles & Apparel,1,2025-07-31 19:30:38.912
2024,Goa,Indic Language Startups,1,2025-07-31 19:30:39.162
2024,Goa,Transportation & Storage,6,2025-07-31 19:30:39.412
2024,Goa,Logistics,1,2025-07-31 19:30:39.663
2024,Goa,Travel & Tourism,9,2025-07-31 19:30:39.916
2024,Goa,Security Solutions,3,2025-07-31 19:30:40.168
2024,Goa,Real Estate,2,2025-07-31 19:30:40.671
2024,Goa,Other Specialty Retailers,2,2025-07-31 19:30:40.923
2024,Delhi,Analytics,8,2025-07-31 19:30:42.971
2024,Delhi,Advertising,28,2025-07-31 19:30:43.259
2024,Delhi,Architecture Interior Design,27,2025-07-31 19:30:43.547
2024,Delhi,AR VR (Augmented + Virtual Reality),8,2025-07-31 19:30:43.835
2024,Delhi,Automotive,56,2025-07-31 19:30:44.124
2024,Delhi,Art & Photography,8,2025-07-31 19:30:44.413
2024,Delhi,Animation,2,2025-07-31 19:30:44.703
2024,Delhi,Chemicals,19,2025-07-31 19:30:44.993
2024,Delhi,Computer Vision,4,2025-07-31 19:30:45.282
2024,Delhi,Telecommunication & Networking,33,2025-07-31 19:30:45.575
2024,Delhi,Construction,123,2025-07-31 19:30:45.866
2024,Delhi,Agriculture,69,2025-07-31 19:30:46.158
2024,Delhi,Aeronautics Aerospace & Defence,26,2025-07-31 19:30:46.449
2024,Delhi,AI,61,2025-07-31 19:30:46.740
2024,Delhi,Green Technology,61,2025-07-31 19:30:47.031
2024,Delhi,Events,32,2025-07-31 19:30:47.322
2024,Delhi,Fashion,91,2025-07-31 19:30:47.613
2024,Delhi,Finance Technology,84,2025-07-31 19:30:47.904
2024,Delhi,Enterprise Software,32,2025-07-31 19:30:48.199
2024,Delhi,Food & Beverages,159,2025-07-31 19:30:48.492
2024,Delhi,Design,13,2025-07-31 19:30:48.787
2024,Delhi,Dating Matrimonial,2,2025-07-31 19:30:49.080
2024,Delhi,Education,124,2025-07-31 19:30:49.373
2024,Delhi,Renewable Energy,73,2025-07-31 19:30:49.667
2024,Delhi,Technology Hardware,96,2025-07-31 19:30:49.960
2024,Delhi,Healthcare & Lifesciences,291,2025-07-31 19:30:50.255
2024,Delhi,Internet of Things,17,2025-07-31 19:30:50.551
2024,Delhi,IT Services,251,2025-07-31 19:30:50.847
2024,Delhi,Human Resources,96,2025-07-31 19:30:51.139
2024,Delhi,Marketing,54,2025-07-31 19:30:51.435
2024,Delhi,Nanotechnology,4,2025-07-31 19:30:51.727
2024,Delhi,Non- Renewable Energy,12,2025-07-31 19:30:52.018
2024,Delhi,Pets & Animals,6,2025-07-31 19:30:52.311
2024,Delhi,Media & Entertainment,56,2025-07-31 19:30:52.606
2024,Delhi,Retail,85,2025-07-31 19:30:52.897
2024,Delhi,House-Hold Services,30,2025-07-31 19:30:53.189
2024,Delhi,Professional & Commercial Services,212,2025-07-31 19:30:53.482
2024,Delhi,Sports,15,2025-07-31 19:30:53.776
2024,Delhi,Social Impact,21,2025-07-31 19:30:54.071
2024,Delhi,Social Network,11,2025-07-31 19:30:54.363
2024,Delhi,Textiles & Apparel,61,2025-07-31 19:30:54.658
2024,Delhi,Indic Language Startups,10,2025-07-31 19:30:54.949
2024,Delhi,Transportation & Storage,40,2025-07-31 19:30:55.240
2024,Delhi,Logistics,34,2025-07-31 19:30:55.531
2024,Delhi,Travel & Tourism,67,2025-07-31 19:30:55.824
2024,Delhi,Security Solutions,68,2025-07-31 19:30:56.117
2024,Delhi,Airport Operations,3,2025-07-31 19:30:56.407
2024,Delhi,Real Estate,40,2025-07-31 19:30:56.697
2024,Delhi,Other Specialty Retailers,45,2025-07-31 19:30:56.988
2024,Delhi,Safety,6,2025-07-31 19:30:57.279
2024,Delhi,Robotics,14,2025-07-31 19:30:57.568
2024,Delhi,Passenger Experience,1,2025-07-31 19:30:57.861
2024,Delhi,Biotechnology,9,2025-07-31 19:30:58.152
2024,Delhi,Waste Management,40,2025-07-31 19:30:58.441
2024,Delhi,Toys and Games,14,2025-07-31 19:30:59.019
2024,Gujarat,Analytics,13,2025-07-31 19:30:59.301
2024,Gujarat,Advertising,12,2025-07-31 19:30:59.585
2024,Gujarat,Architecture Interior Design,24,2025-07-31 19:30:59.868
2024,Gujarat,AR VR (Augmented + Virtual Reality),11,2025-07-31 19:31:00.151
2024,Gujarat,Automotive,90,2025-07-31 19:31:00.436
2024,Gujarat,Art & Photography,13,2025-07-31 19:31:00.721
2024,Gujarat,Animation,2,2025-07-31 19:31:01.005
2024,Gujarat,Chemicals,108,2025-07-31 19:31:01.291
2024,Gujarat,Computer Vision,1,2025-07-31 19:31:01.575
2024,Gujarat,Telecommunication & Networking,19,2025-07-31 19:31:01.859
2024,Gujarat,Construction,244,2025-07-31 19:31:02.144
2024,Gujarat,Agriculture,249,2025-07-31 19:31:02.428
2024,Gujarat,Aeronautics Aerospace & Defence,22,2025-07-31 19:31:02.713
2024,Gujarat,AI,38,2025-07-31 19:31:02.996
2024,Gujarat,Green Technology,75,2025-07-31 19:31:03.278
2024,Gujarat,Events,13,2025-07-31 19:31:03.562
2024,Gujarat,Fashion,117,2025-07-31 19:31:03.845
2024,Gujarat,Finance Technology,94,2025-07-31 19:31:04.128
2024,Gujarat,Enterprise Software,37,2025-07-31 19:31:04.412
2024,Gujarat,Food & Beverages,184,2025-07-31 19:31:04.697
2024,Gujarat,Design,14,2025-07-31 19:31:04.982
2024,Gujarat,Dating Matrimonial,2,2025-07-31 19:31:05.267
2024,Gujarat,Education,95,2025-07-31 19:31:05.551
2024,Gujarat,Renewable Energy,153,2025-07-31 19:31:05.835
2024,Gujarat,Technology Hardware,194,2025-07-31 19:31:06.119
2024,Gujarat,Healthcare & Lifesciences,321,2025-07-31 19:31:06.404
2024,Gujarat,Internet of Things,19,2025-07-31 19:31:06.688
2024,Gujarat,IT Services,287,2025-07-31 19:31:06.973
2024,Gujarat,Human Resources,38,2025-07-31 19:31:07.259
2024,Gujarat,Marketing,47,2025-07-31 19:31:07.543
2024,Gujarat,Nanotechnology,6,2025-07-31 19:31:07.828
2024,Gujarat,Non- Renewable Energy,31,2025-07-31 19:31:08.112
2024,Gujarat,Pets & Animals,5,2025-07-31 19:31:08.397
2024,Gujarat,Media & Entertainment,23,2025-07-31 19:31:08.682
2024,Gujarat,Retail,55,2025-07-31 19:31:08.967
2024,Gujarat,House-Hold Services,26,2025-07-31 19:31:09.252
2024,Gujarat,Professional & Commercial Services,247,2025-07-31 19:31:09.537
2024,Gujarat,Sports,10,2025-07-31 19:31:09.823
2024,Gujarat,Social Impact,10,2025-07-31 19:31:10.107
2024,Gujarat,Social Network,2,2025-07-31 19:31:10.391
2024,Gujarat,Textiles & Apparel,135,2025-07-31 19:31:10.676
2024,Gujarat,Indic Language Startups,13,2025-07-31 19:31:10.960
2024,Gujarat,Transportation & Storage,62,2025-07-31 19:31:11.245
2024,Gujarat,Logistics,24,2025-07-31 19:31:11.529
2024,Gujarat,Travel & Tourism,52,2025-07-31 19:31:11.813
2024,Gujarat,Security Solutions,21,2025-07-31 19:31:12.098
2024,Gujarat,Real Estate,28,2025-07-31 19:31:12.666
2024,Gujarat,Other Specialty Retailers,52,2025-07-31 19:31:12.952
2024,Gujarat,Safety,16,2025-07-31 19:31:13.237
2024,Gujarat,Robotics,11,2025-07-31 19:31:13.521
2024,Gujarat,Biotechnology,15,2025-07-31 19:31:14.089
2024,Gujarat,Waste Management,48,2025-07-31 19:31:14.373
2024,Gujarat,Toys and Games,16,2025-07-31 19:31:14.943
2024,Himachal Pradesh,Automotive,2,2025-07-31 19:31:16.220
2024,Himachal Pradesh,Art & Photography,1,2025-07-31 19:31:16.477
2024,Himachal Pradesh,Telecommunication & Networking,1,2025-07-31 19:31:17.506
2024,Himachal Pradesh,Construction,20,2025-07-31 19:31:17.763
2024,Himachal Pradesh,Agriculture,16,2025-07-31 19:31:18.019
2024,Himachal Pradesh,Aeronautics Aerospace & Defence,3,2025-07-31 19:31:18.274
2024,Himachal Pradesh,AI,2,2025-07-31 19:31:18.523
2024,Himachal Pradesh,Fashion,2,2025-07-31 19:31:19.314
2024,Himachal Pradesh,Finance Technology,1,2025-07-31 19:31:19.568
2024,Himachal Pradesh,Enterprise Software,1,2025-07-31 19:31:19.823
2024,Himachal Pradesh,Food & Beverages,10,2025-07-31 19:31:20.077
2024,Himachal Pradesh,Design,1,2025-07-31 19:31:20.331
2024,Himachal Pradesh,Education,8,2025-07-31 19:31:20.841
2024,Himachal Pradesh,Renewable Energy,4,2025-07-31 19:31:21.095
2024,Himachal Pradesh,Technology Hardware,6,2025-07-31 19:31:21.346
2024,Himachal Pradesh,Healthcare & Lifesciences,15,2025-07-31 19:31:21.599
2024,Himachal Pradesh,Internet of Things,1,2025-07-31 19:31:21.850
2024,Himachal Pradesh,IT Services,8,2025-07-31 19:31:22.101
2024,Himachal Pradesh,Human Resources,4,2025-07-31 19:31:22.352
2024,Himachal Pradesh,Marketing,2,2025-07-31 19:31:22.603
2024,Himachal Pradesh,Media & Entertainment,1,2025-07-31 19:31:23.609
2024,Himachal Pradesh,Retail,5,2025-07-31 19:31:23.860
2024,Himachal Pradesh,House-Hold Services,1,2025-07-31 19:31:24.112
2024,Himachal Pradesh,Professional & Commercial Services,8,2025-07-31 19:31:24.364
2024,Himachal Pradesh,Social Network,1,2025-07-31 19:31:25.122
2024,Himachal Pradesh,Textiles & Apparel,1,2025-07-31 19:31:25.373
2024,Himachal Pradesh,Indic Language Startups,1,2025-07-31 19:31:25.624
2024,Himachal Pradesh,Transportation & Storage,3,2025-07-31 19:31:25.875
2024,Himachal Pradesh,Travel & Tourism,11,2025-07-31 19:31:26.376
2024,Himachal Pradesh,Real Estate,1,2025-07-31 19:31:27.131
2024,Himachal Pradesh,Other Specialty Retailers,3,2025-07-31 19:31:27.386
2024,Himachal Pradesh,Waste Management,1,2025-07-31 19:31:28.658
2024,Haryana,Analytics,5,2025-07-31 19:31:29.447
2024,Haryana,Advertising,17,2025-07-31 19:31:29.719
2024,Haryana,Architecture Interior Design,18,2025-07-31 19:31:29.990
2024,Haryana,AR VR (Augmented + Virtual Reality),5,2025-07-31 19:31:30.261
2024,Haryana,Automotive,49,2025-07-31 19:31:30.533
2024,Haryana,Art & Photography,6,2025-07-31 19:31:30.804
2024,Haryana,Chemicals,17,2025-07-31 19:31:31.350
2024,Haryana,Computer Vision,2,2025-07-31 19:31:31.623
2024,Haryana,Telecommunication & Networking,15,2025-07-31 19:31:31.896
2024,Haryana,Construction,113,2025-07-31 19:31:32.170
2024,Haryana,Agriculture,71,2025-07-31 19:31:32.438
2024,Haryana,Aeronautics Aerospace & Defence,24,2025-07-31 19:31:32.709
2024,Haryana,AI,46,2025-07-31 19:31:32.979
2024,Haryana,Green Technology,31,2025-07-31 19:31:33.249
2024,Haryana,Events,10,2025-07-31 19:31:33.519
2024,Haryana,Fashion,44,2025-07-31 19:31:33.789
2024,Haryana,Finance Technology,50,2025-07-31 19:31:34.061
2024,Haryana,Enterprise Software,32,2025-07-31 19:31:34.331
2024,Haryana,Food & Beverages,90,2025-07-31 19:31:34.603
2024,Haryana,Design,4,2025-07-31 19:31:34.875
2024,Haryana,Dating Matrimonial,2,2025-07-31 19:31:35.148
2024,Haryana,Education,91,2025-07-31 19:31:35.424
2024,Haryana,Renewable Energy,46,2025-07-31 19:31:35.696
2024,Haryana,Technology Hardware,58,2025-07-31 19:31:35.969
2024,Haryana,Healthcare & Lifesciences,168,2025-07-31 19:31:36.240
2024,Haryana,Internet of Things,10,2025-07-31 19:31:36.511
2024,Haryana,IT Services,149,2025-07-31 19:31:36.782
2024,Haryana,Human Resources,37,2025-07-31 19:31:37.054
2024,Haryana,Marketing,39,2025-07-31 19:31:37.326
2024,Haryana,Nanotechnology,1,2025-07-31 19:31:37.598
2024,Haryana,Non- Renewable Energy,7,2025-07-31 19:31:37.869
2024,Haryana,Pets & Animals,9,2025-07-31 19:31:38.143
2024,Haryana,Media & Entertainment,20,2025-07-31 19:31:38.417
2024,Haryana,Retail,46,2025-07-31 19:31:38.691
2024,Haryana,House-Hold Services,18,2025-07-31 19:31:38.964
2024,Haryana,Professional & Commercial Services,100,2025-07-31 19:31:39.237
2024,Haryana,Sports,11,2025-07-31 19:31:39.506
2024,Haryana,Social Impact,6,2025-07-31 19:31:39.776
2024,Haryana,Social Network,8,2025-07-31 19:31:40.048
2024,Haryana,Textiles & Apparel,46,2025-07-31 19:31:40.322
2024,Haryana,Indic Language Startups,4,2025-07-31 19:31:40.596
2024,Haryana,Transportation & Storage,28,2025-07-31 19:31:40.869
2024,Haryana,Logistics,19,2025-07-31 19:31:41.141
2024,Haryana,Travel & Tourism,33,2025-07-31 19:31:41.412
2024,Haryana,Security Solutions,17,2025-07-31 19:31:41.681
2024,Haryana,Real Estate,23,2025-07-31 19:31:42.225
2024,Haryana,Other Specialty Retailers,32,2025-07-31 19:31:42.496
2024,Haryana,Safety,3,2025-07-31 19:31:42.768
2024,Haryana,Robotics,3,2025-07-31 19:31:43.041
2024,Haryana,Passenger Experience,2,2025-07-31 19:31:43.313
2024,Haryana,Biotechnology,6,2025-07-31 19:31:43.581
2024,Haryana,Waste Management,27,2025-07-31 19:31:43.850
2024,Haryana,Toys and Games,13,2025-07-31 19:31:44.391
2024,Jammu and Kashmir,Architecture Interior Design,2,2025-07-31 19:31:45.148
2024,Jammu and Kashmir,Automotive,9,2025-07-31 19:31:45.656
2024,Jammu and Kashmir,Art & Photography,1,2025-07-31 19:31:45.910
2024,Jammu and Kashmir,Chemicals,1,2025-07-31 19:31:46.418
2024,Jammu and Kashmir,Construction,87,2025-07-31 19:31:47.182
2024,Jammu and Kashmir,Agriculture,23,2025-07-31 19:31:47.436
2024,Jammu and Kashmir,Aeronautics Aerospace & Defence,1,2025-07-31 19:31:47.690
2024,Jammu and Kashmir,AI,3,2025-07-31 19:31:47.945
2024,Jammu and Kashmir,Green Technology,4,2025-07-31 19:31:48.198
2024,Jammu and Kashmir,Events,1,2025-07-31 19:31:48.449
2024,Jammu and Kashmir,Fashion,4,2025-07-31 19:31:48.699
2024,Jammu and Kashmir,Enterprise Software,2,2025-07-31 19:31:49.203
2024,Jammu and Kashmir,Food & Beverages,15,2025-07-31 19:31:49.456
2024,Jammu and Kashmir,Education,6,2025-07-31 19:31:50.214
2024,Jammu and Kashmir,Renewable Energy,7,2025-07-31 19:31:50.467
2024,Jammu and Kashmir,Technology Hardware,5,2025-07-31 19:31:50.721
2024,Jammu and Kashmir,Healthcare & Lifesciences,13,2025-07-31 19:31:50.972
2024,Jammu and Kashmir,IT Services,22,2025-07-31 19:31:51.478
2024,Jammu and Kashmir,Human Resources,9,2025-07-31 19:31:51.731
2024,Jammu and Kashmir,Marketing,3,2025-07-31 19:31:51.986
2024,Jammu and Kashmir,Media & Entertainment,5,2025-07-31 19:31:52.999
2024,Jammu and Kashmir,Professional & Commercial Services,15,2025-07-31 19:31:53.760
2024,Jammu and Kashmir,Social Impact,1,2025-07-31 19:31:54.266
2024,Jammu and Kashmir,Textiles & Apparel,6,2025-07-31 19:31:54.774
2024,Jammu and Kashmir,Transportation & Storage,5,2025-07-31 19:31:55.281
2024,Jammu and Kashmir,Logistics,1,2025-07-31 19:31:55.535
2024,Jammu and Kashmir,Travel & Tourism,12,2025-07-31 19:31:55.786
2024,Jammu and Kashmir,Security Solutions,6,2025-07-31 19:31:56.040
2024,Jammu and Kashmir,Real Estate,2,2025-07-31 19:31:56.545
2024,Jammu and Kashmir,Safety,1,2025-07-31 19:31:57.049
2024,Jammu and Kashmir,Biotechnology,1,2025-07-31 19:31:57.824
2024,Jammu and Kashmir,Waste Management,2,2025-07-31 19:31:58.076
2024,Jharkhand,Analytics,1,2025-07-31 19:31:58.834
2024,Jharkhand,Advertising,1,2025-07-31 19:31:59.117
2024,Jharkhand,Architecture Interior Design,3,2025-07-31 19:31:59.370
2024,Jharkhand,AR VR (Augmented + Virtual Reality),1,2025-07-31 19:31:59.623
2024,Jharkhand,Automotive,7,2025-07-31 19:31:59.877
2024,Jharkhand,Art & Photography,1,2025-07-31 19:32:00.129
2024,Jharkhand,Chemicals,4,2025-07-31 19:32:00.636
2024,Jharkhand,Telecommunication & Networking,3,2025-07-31 19:32:01.146
2024,Jharkhand,Construction,39,2025-07-31 19:32:01.400
2024,Jharkhand,Agriculture,32,2025-07-31 19:32:01.655
2024,Jharkhand,Aeronautics Aerospace & Defence,1,2025-07-31 19:32:01.909
2024,Jharkhand,AI,11,2025-07-31 19:32:02.163
2024,Jharkhand,Green Technology,6,2025-07-31 19:32:02.417
2024,Jharkhand,Events,2,2025-07-31 19:32:02.670
2024,Jharkhand,Fashion,5,2025-07-31 19:32:02.925
2024,Jharkhand,Finance Technology,3,2025-07-31 19:32:03.178
2024,Jharkhand,Enterprise Software,1,2025-07-31 19:32:03.432
2024,Jharkhand,Food & Beverages,20,2025-07-31 19:32:03.688
2024,Jharkhand,Design,1,2025-07-31 19:32:03.944
2024,Jharkhand,Education,18,2025-07-31 19:32:04.454
2024,Jharkhand,Renewable Energy,13,2025-07-31 19:32:04.709
2024,Jharkhand,Technology Hardware,11,2025-07-31 19:32:04.963
2024,Jharkhand,Healthcare & Lifesciences,23,2025-07-31 19:32:05.217
2024,Jharkhand,Internet of Things,2,2025-07-31 19:32:05.472
2024,Jharkhand,IT Services,33,2025-07-31 19:32:05.726
2024,Jharkhand,Human Resources,9,2025-07-31 19:32:05.982
2024,Jharkhand,Marketing,3,2025-07-31 19:32:06.237
2024,Jharkhand,Non- Renewable Energy,3,2025-07-31 19:32:06.745
2024,Jharkhand,Pets & Animals,1,2025-07-31 19:32:06.999
2024,Jharkhand,Media & Entertainment,2,2025-07-31 19:32:07.253
2024,Jharkhand,Retail,2,2025-07-31 19:32:07.507
2024,Jharkhand,House-Hold Services,2,2025-07-31 19:32:07.761
2024,Jharkhand,Professional & Commercial Services,23,2025-07-31 19:32:08.014
2024,Jharkhand,Sports,2,2025-07-31 19:32:08.268
2024,Jharkhand,Social Impact,2,2025-07-31 19:32:08.521
2024,Jharkhand,Textiles & Apparel,5,2025-07-31 19:32:09.029
2024,Jharkhand,Indic Language Startups,2,2025-07-31 19:32:09.283
2024,Jharkhand,Transportation & Storage,4,2025-07-31 19:32:09.539
2024,Jharkhand,Logistics,1,2025-07-31 19:32:09.794
2024,Jharkhand,Travel & Tourism,2,2025-07-31 19:32:10.048
2024,Jharkhand,Security Solutions,7,2025-07-31 19:32:10.302
2024,Jharkhand,Real Estate,7,2025-07-31 19:32:10.812
2024,Jharkhand,Other Specialty Retailers,3,2025-07-31 19:32:11.068
2024,Jharkhand,Safety,2,2025-07-31 19:32:11.324
2024,Jharkhand,Robotics,2,2025-07-31 19:32:11.579
2024,Jharkhand,Biotechnology,1,2025-07-31 19:32:12.089
2024,Jharkhand,Waste Management,3,2025-07-31 19:32:12.344
2024,Jharkhand,Toys and Games,1,2025-07-31 19:32:12.852
2024,Bihar,Analytics,1,2025-07-31 19:32:13.112
2024,Bihar,Advertising,10,2025-07-31 19:32:13.371
2024,Bihar,Architecture Interior Design,4,2025-07-31 19:32:13.631
2024,Bihar,Automotive,10,2025-07-31 19:32:14.151
2024,Bihar,Art & Photography,4,2025-07-31 19:32:14.410
2024,Bihar,Animation,1,2025-07-31 19:32:14.669
2024,Bihar,Chemicals,4,2025-07-31 19:32:14.928
2024,Bihar,Telecommunication & Networking,7,2025-07-31 19:32:15.445
2024,Bihar,Construction,183,2025-07-31 19:32:15.704
2024,Bihar,Agriculture,62,2025-07-31 19:32:15.963
2024,Bihar,Aeronautics Aerospace & Defence,6,2025-07-31 19:32:16.220
2024,Bihar,AI,10,2025-07-31 19:32:16.480
2024,Bihar,Green Technology,7,2025-07-31 19:32:16.739
2024,Bihar,Events,7,2025-07-31 19:32:16.998
2024,Bihar,Fashion,15,2025-07-31 19:32:17.256
2024,Bihar,Finance Technology,22,2025-07-31 19:32:17.516
2024,Bihar,Enterprise Software,2,2025-07-31 19:32:17.776
2024,Bihar,Food & Beverages,51,2025-07-31 19:32:18.035
2024,Bihar,Dating Matrimonial,1,2025-07-31 19:32:18.555
2024,Bihar,Education,57,2025-07-31 19:32:18.815
2024,Bihar,Renewable Energy,15,2025-07-31 19:32:19.074
2024,Bihar,Technology Hardware,15,2025-07-31 19:32:19.334
2024,Bihar,Healthcare & Lifesciences,53,2025-07-31 19:32:19.593
2024,Bihar,Internet of Things,1,2025-07-31 19:32:19.852
2024,Bihar,IT Services,51,2025-07-31 19:32:20.112
2024,Bihar,Human Resources,45,2025-07-31 19:32:20.371
2024,Bihar,Marketing,9,2025-07-31 19:32:20.630
2024,Bihar,Non- Renewable Energy,5,2025-07-31 19:32:21.147
2024,Bihar,Pets & Animals,2,2025-07-31 19:32:21.406
2024,Bihar,Media & Entertainment,9,2025-07-31 19:32:21.664
2024,Bihar,Retail,14,2025-07-31 19:32:21.923
2024,Bihar,House-Hold Services,11,2025-07-31 19:32:22.182
2024,Bihar,Professional & Commercial Services,48,2025-07-31 19:32:22.441
2024,Bihar,Social Impact,4,2025-07-31 19:32:22.961
2024,Bihar,Textiles & Apparel,14,2025-07-31 19:32:23.480
2024,Bihar,Indic Language Startups,3,2025-07-31 19:32:23.739
2024,Bihar,Transportation & Storage,8,2025-07-31 19:32:23.999
2024,Bihar,Logistics,2,2025-07-31 19:32:24.260
2024,Bihar,Travel & Tourism,10,2025-07-31 19:32:24.522
